OPERATORE,DATA,STATO ATTIVAZIONE,COMUNE,PROVINCIA,ETRS89EST,ETRS89NORD
VODAFONE OMNITEL,2019 September 02,REALIZZATO,ROVEREDO IN PIANO,PN,315554.2,5095320.9
TELECOM ITALIA MOBILE,2017 June 06,REALIZZATO,TRIESTE,TS,406975.1,5055311.6
WIND-TRE,2020 March 26,REALIZZATO,REANA DEL ROIALE,UD,364133.8,5112219.6
WIND-TRE,2018 October 05,REALIZZATO,NIMIS,UD,365483.9,5116384.4
WIND-TRE,2019 November 29,DA REALIZZARE,PALMANOVA,UD,370285.6,5084446.4
ILIAD ITALIA,2019 November 29,DA REALIZZARE,LIGNANO SABBIADORO,UD,355430.2,5061310.4
TELECOM ITALIA MOBILE,2017 February 15,REALIZZATO,ANDREIS,PN,317520.3,5117471.9
WIND-TRE,2019 April 24,REALIZZATO,DIGNANO,UD,341742.1,5105655.8
WIND-TRE,2019 June 06,REALIZZATO,UDINE,UD,361421.3,5101297.3
TELECOM ITALIA MOBILE,2019 November 22,DA REALIZZARE,PRADAMANO,UD,367095.1,5097643.4
WIND-TRE,2002 April 08,REALIZZATO,PALMANOVA,UD,368698.9,5084766.7
TELECOM ITALIA MOBILE,2019 November 29,DA REALIZZARE,FIUME VENETO,PN,325407.9,5088433.2
WIND-TRE,2002 April 09,REALIZZATO,PALMANOVA,UD,369058.9,5084982.7
WIND-TRE,2019 April 09,REALIZZATO,CODROIPO,UD,343009.6,5091282.8
ILIAD ITALIA,2020 April 02,DA REALIZZARE,CORDENONS,PN,321995.9,5095410.1
WIND-TRE,2019 April 24,REALIZZATO,BUIA,UD,352267.7,5121456.1
WIND-TRE,2019 November 25,DA REALIZZARE,CAMPOFORMIDO,UD,361437.8,5099111
WIND-TRE,2019 March 11,REALIZZATO,BUIA,UD,353737.2,5118757.4
WIND-TRE,2019 March 06,REALIZZATO,VENZONE,UD,356361.2,5138359.1
WIND-TRE,2019 June 07,REALIZZATO,TAVAGNACCO,UD,362454.3,5109595.7
WIND-TRE,2019 February 12,REALIZZATO,MONFALCONE,GO,384177.1,5075170
WIND-TRE,2019 April 08,REALIZZATO,PALAZZOLO DELLO STELLA,UD,351124.1,5074418.1
TELECOM ITALIA MOBILE,2019 November 18,DA REALIZZARE,GORIZIA,GO,393485.2,5088964.6
WIND-TRE,2019 March 11,REALIZZATO,SAN DANIELE DEL FRIULI,UD,343385.8,5111341.4
WIND-TRE,2019 March 28,REALIZZATO,BUIA,UD,356158.8,5119181.62
WIND-TRE,2019 April 24,REALIZZATO,MAIANO,UD,350375.8,5116434.5
WIND-TRE,2019 May 24,REALIZZATO,MONFALCONE,GO,384783.9,5073661.5
WIND-TRE,2019 May 15,REALIZZATO,UDINE,UD,366032.5,5101865.9
WIND-TRE,2019 April 11,REALIZZATO,CORDOVADO,PN,336346.6,5079430.2
WIND-TRE,2019 June 10,REALIZZATO,CODROIPO,UD,342571.4,5092570.8
ILIAD ITALIA,2020 March 31,DA REALIZZARE,TRIESTE,TS,404787,5054681.1
WIND-TRE,2019 April 23,REALIZZATO,VILLA SANTINA,UD,339805.6,5141611
WIND-TRE,2019 August 30,REALIZZATO,PAVIA DI UDINE,UD,363859.1,5092899.6
WIND-TRE,2019 June 21,REALIZZATO,CODROIPO,UD,343429.58,5091719.47
WIND-TRE,2018 March 16,REALIZZATO,CERVIGNANO DEL FRIULI,UD,370742.1,5075713
WIND-TRE,2019 December 03,DA REALIZZARE,PORPETTO,UD,362493,5077397.8
WIND-TRE,2019 June 20,REALIZZATO,TAVAGNACCO,UD,361359.4,5106187.4
TELECOM ITALIA MOBILE,2019 July 16,REALIZZATO,UDINE,UD,363600.2,5103416.4
WIND-TRE,2018 December 11,REALIZZATO,PREMARIACCO,UD,374908.7,5100633.3
WIND-TRE,2019 May 02,REALIZZATO,COLLOREDO DI  MONTE ALBANO,UD,354797.39,5116635.16
WIND-TRE,2019 May 09,REALIZZATO,TAVAGNACCO,UD,360507.3,5105426.5
WIND-TRE,2018 December 11,REALIZZATO,OSOPPO,UD,353524.82,5125013.04
WIND-TRE,2019 September 17,REALIZZATO,PALMANOVA,UD,369662.7,5085698.5
WIND-TRE,2018 April 20,REALIZZATO,GEMONA DEL FRIULI,UD,356677.3,5126767.3
WIND-TRE,2019 April 08,REALIZZATO,CIVIDALE DEL FRIULI,UD,378884.5,5104790.6
WIND-TRE,2019 April 02,REALIZZATO,GEMONA DEL FRIULI,UD,355579.5,5126202.6
ILIAD ITALIA,2020 March 31,DA REALIZZARE,MORSANO AL TAGLIAMENTO,PN,339194.8,5079976.4
WIND-TRE,2018 November 22,REALIZZATO,VISCO,UD,371344.5,5083142.7
WIND-TRE,2019 March 11,REALIZZATO,SEDEGLIANO,UD,343084,5096726.2
WIND-TRE,2019 June 07,REALIZZATO,TOLMEZZO,UD,347245.1,5140357
WIND-TRE,2019 March 15,REALIZZATO,TRASAGHIS,UD,350984,5126708.8
WIND-TRE,2019 May 15,REALIZZATO,UDINE,UD,362779.3,5102920.3
WIND-TRE,2019 December 09,DA REALIZZARE,MONFALCONE,GO,386554.4,5070941.3
VODAFONE OMNITEL,2020 April 02,DA REALIZZARE,TRIESTE,TS,404788.7,5055115.1
WIND-TRE,2018 March 07,REALIZZATO,CERVIGNANO DEL FRIULI,UD,370085.9,5078337.2
WIND-TRE,2019 December 16,DA REALIZZARE,FIUMICELLO,UD,376188.6,5072834.5
WIND-TRE,2019 September 02,REALIZZATO,FAGAGNA,UD,352103.4,5107146.7
WIND-TRE,2019 February 19,REALIZZATO,GRADO,GO,374404.5,5059704.6
WIND-TRE,2019 December 12,DA REALIZZARE,PORDENONE,PN,319949.4,5093644.4
WIND-TRE,2019 October 17,REALIZZATO,PAVIA DI UDINE,UD,370158.8,5091879.4
WIND-TRE,2019 April 04,REALIZZATO,LATISANA,UD,348939.7,5062030.9
WIND-TRE,2019 December 12,DA REALIZZARE,PRADAMANO,UD,367095.1,5097643.4
WIND-TRE,2019 March 06,REALIZZATO,LIGNANO SABBIADORO,UD,352915.5,5059743
WIND-TRE,2019 June 14,REALIZZATO,GEMONA DEL FRIULI,UD,353820.1,5126371.7
TELECOM ITALIA MOBILE,2019 December 16,REALIZZATO,SAN VITO AL TAGLIAMENTO,PN,332979.8,5087167
WIND-TRE,2019 September 17,REALIZZATO,UDINE,UD,363099.3,5101516.3
