OPERATORE,DATA,STATO ATTIVAZIONE,COMUNE,PROVINCIA,ETRS89EST,ETRS89NORD
VODAFONE OMNITEL,2017 November 27,DA REALIZZARE,TAVAGNACCO,UD,362736.4,5108033.4
VODAFONE OMNITEL,2015 June 30,REALIZZATO,PREMARIACCO,UD,375679.9,5098807.2
VODAFONE OMNITEL,2014 October 10,REALIZZATO,MARTIGNACCO,UD,355673.3,5106544.2
TELECOM ITALIA MOBILE,2014 August 04,REALIZZATO,BUTTRIO,UD,371514.2,5095596.9
TELECOM ITALIA MOBILE,2014 April 23,REALIZZATO,AZZANO DECIMO,PN,318979.5,5087081.4
VODAFONE OMNITEL,2016 February 09,REALIZZATO,UDINE,UD,364966.9,5099825.3
ILIAD ITALIA,2018 November 09,DA REALIZZARE,UDINE,UD,363979.3,5101913.1
VODAFONE OMNITEL,2014 October 20,REALIZZATO,CORMONS,GO,381282.7,5090225.1
TELECOM ITALIA MOBILE,2017 July 14,REALIZZATO,SESTO AL REGHENA,PN,330025.4,5080072.9
VODAFONE OMNITEL,2014 September 17,REALIZZATO,ROMANS D'ISONZO,GO,377184.7,5083839.5
VODAFONE OMNITEL,2016 August 31,DA REALIZZARE,TAIPANA,UD,372674.6,5124371.6
ALTRO GESTORE,2016 October 17,DA REALIZZARE,TRIESTE,TS,404247.1,5057285.6
VODAFONE OMNITEL,2015 July 06,REALIZZATO,VILLESSE,GO,378584.6,5080067.5
TELECOM ITALIA MOBILE,2014 February 26,REALIZZATO,REMANZACCO,UD,369697.2,5105026.9
VODAFONE OMNITEL,2015 October 23,REALIZZATO,TAVAGNACCO,UD,361695,5107708
TELECOM ITALIA MOBILE,2017 June 12,DA REALIZZARE,UDINE,UD,362683,5100768.1
TELECOM ITALIA MOBILE,2005 September 26,REALIZZATO,DUINO AURISINA,TS,391020.9,5070540
VODAFONE OMNITEL,2014 February 24,REALIZZATO,SAN GIORGIO DELLA RICHINVELDA,PN,332602.9,5100053.8
VODAFONE OMNITEL,2015 June 17,REALIZZATO,CANEVA,PN,304202.8,5095233.2
VODAFONE OMNITEL,2014 June 05,REALIZZATO,LIGNANO SABBIADORO,UD,351648.2,5059297.9
TELECOM ITALIA MOBILE,2016 February 09,REALIZZATO,CHIOPRIS VISCONE,UD,375623.4,5087395.1
TELECOM ITALIA MOBILE,2012 July 02,REALIZZATO,PORPETTO,UD,361283,5079920.8
VODAFONE OMNITEL,2014 April 23,REALIZZATO,AZZANO DECIMO,PN,318979.5,5087081.4
VODAFONE OMNITEL,2015 October 29,REALIZZATO,FANNA,PN,326739.8,5116677.9
VODAFONE OMNITEL,2015 April 20,DA REALIZZARE,TALMASSONS,UD,356249.7,5087849.3
ALTRO GESTORE,2016 January 29,REALIZZATO,CODROIPO,UD,344181.2,5092419.3
TELECOM ITALIA MOBILE,2019 August 29,REALIZZATO,VILLESSE,GO,378584.6,5080067.5
TELECOM ITALIA MOBILE,2014 March 24,REALIZZATO,PORDENONE,PN,319033.2,5090490.1
VODAFONE OMNITEL,2015 January 13,DA REALIZZARE,SACILE,PN,306878.8,5091533.1
WIND-TRE,2017 May 19,DA REALIZZARE,FAEDIS,UD,372591.9,5110965.2
TELECOM ITALIA MOBILE,2016 February 05,REALIZZATO,TARVISIO,UD,390092.1,5149880.7
TELECOM ITALIA MOBILE,2014 May 05,REALIZZATO,BRUGNERA,PN,309402.2,5085443.5
TELECOM ITALIA MOBILE,2014 March 31,REALIZZATO,CODROIPO,UD,343009.6,5091282.8
WIND-TRE,2016 March 18,REALIZZATO,BUIA,UD,355742.6,5118538.1
VODAFONE OMNITEL,2014 June 30,REALIZZATO,LATISANA,UD,344618.2,5070893.3
TELECOM ITALIA MOBILE,2017 May 03,REALIZZATO,LIGNANO SABBIADORO,UD,352927,5060001.5
TELECOM ITALIA MOBILE,2019 May 29,REALIZZATO,TRIESTE,TS,404435.1,5056596
TELECOM ITALIA MOBILE,2004 August 02,REALIZZATO,GORIZIA,GO,391644.6,5089044.3
VODAFONE OMNITEL,2014 April 14,REALIZZATO,FIUME VENETO,PN,326183.6,5087171.4
TELECOM ITALIA MOBILE,2017 May 08,REALIZZATO,UDINE,UD,366885.5,5104037.6
TELECOM ITALIA MOBILE,2017 November 07,REALIZZATO,PAVIA DI UDINE,UD,370124.6,5092874.3
TELECOM ITALIA MOBILE,2015 June 05,REALIZZATO,MANZANO,UD,374343.6,5093579
ALTRO GESTORE,2004 February 16,REALIZZATO,MALBORGHETTO VALBRUNA,UD,376981.1,5151523.3
TELECOM ITALIA MOBILE,2012 June 19,REALIZZATO,POZZUOLO DEL FRIULI,UD,362671.8,5095597.7
VODAFONE OMNITEL,2014 August 04,REALIZZATO,MERETO DI TOMBA,UD,349614.8,5101652.1
VODAFONE OMNITEL,2015 January 07,REALIZZATO,SESTO AL REGHENA,PN,334190.3,5081825
TELECOM ITALIA MOBILE,2017 February 15,REALIZZATO,DRENCHIA,UD,393659.1,5114441.9
VODAFONE OMNITEL,2016 June 03,REALIZZATO,UDINE,UD,361929.9,5101693
VODAFONE OMNITEL,2015 May 26,REALIZZATO,RUDA,UD,375043.7,5076736.1
VODAFONE OMNITEL,2015 June 03,REALIZZATO,PORPETTO,UD,361283,5079920.8
VODAFONE OMNITEL,2014 July 15,REALIZZATO,PRATA DI PORDENONE,PN,311737.1,5084375.2
WIND-TRE,2018 October 05,DA REALIZZARE,LIGNANO SABBIADORO,UD,353846.4,5061065.1
TELECOM ITALIA MOBILE,2014 May 15,REALIZZATO,FORNI DI SOTTO,UD,319739.4,5140470.2
VODAFONE OMNITEL,2014 March 05,REALIZZATO,BASILIANO,UD,354857.7,5097058.8
WIND-TRE,2018 March 12,REALIZZATO,LIGNANO SABBIADORO,UD,355603.46,5061639.69
TELECOM ITALIA MOBILE,2014 April 23,REALIZZATO,AZZANO DECIMO,PN,321755.8,5084171.3
VODAFONE OMNITEL,,REALIZZATO,GORIZIA,GO,390400.5,5085334.1
WIND-TRE,2016 May 31,DA REALIZZARE,RAGOGNA,UD,344146.2,5114904.1
TELECOM ITALIA MOBILE,2014 April 15,REALIZZATO,ZOPPOLA,PN,327550.1,5091444.9
VODAFONE OMNITEL,2015 June 22,REALIZZATO,SGONICO,TS,402518.3,5065084.5
VODAFONE OMNITEL,2015 January 08,REALIZZATO,SAN MARTINO AL TAGLIAMENTO,PN,334399.4,5098325.7
VODAFONE OMNITEL,2016 May 24,REALIZZATO,UDINE,UD,363951.9,5101982.1
TELECOM ITALIA MOBILE,2007 January 25,REALIZZATO,CORMONS,GO,381163.6,5091254.2
VODAFONE OMNITEL,2014 July 21,REALIZZATO,FONTANAFREDDA,PN,311508.8,5093910.2
WIND-TRE,2018 March 01,REALIZZATO,GONARS,UD,362455.8,5083552.3
ALTRO GESTORE,2003 November 10,REALIZZATO,LATISANA,UD,344659.9,5071660.6
TELECOM ITALIA MOBILE,2014 January 30,REALIZZATO,CORDENONS,PN,322550.9,5094583.6
VODAFONE OMNITEL,2015 December 23,DA REALIZZARE,PRATA DI PORDENONE,PN,313425.9,5086081.3
TELECOM ITALIA MOBILE,2014 March 13,REALIZZATO,VILLA SANTINA,UD,340231.6,5142186.8
VODAFONE OMNITEL,2014 June 13,DA REALIZZARE,GRADO,GO,377530.4,5059618.5
ALTRO GESTORE,2016 April 13,DA REALIZZARE,TOLMEZZO,UD,346580.7,5140402.8
VODAFONE OMNITEL,2015 July 17,REALIZZATO,SAN GIORGIO DI NOGARO,UD,358437.4,5076699.1
VODAFONE OMNITEL,2014 August 18,REALIZZATO,PORCIA,PN,314567,5090595.2
WIND-TRE,2017 June 01,REALIZZATO,CANEVA,PN,304550.2,5095108.1
WIND-TRE,2012 August 02,DA REALIZZARE,ARTEGNA,UD,357264.1,5121811.6
VODAFONE OMNITEL,2015 June 22,REALIZZATO,ZOPPOLA,PN,327431.9,5093003
TELECOM ITALIA MOBILE,2019 July 16,REALIZZATO,TRIESTE,TS,404265.3,5055910.9
TELECOM ITALIA MOBILE,2018 April 10,REALIZZATO,LIGNANO SABBIADORO,UD,352527.7,5059188.3
TELECOM ITALIA MOBILE,2003 October 06,REALIZZATO,TRIESTE,TS,406285.9,5055754.7
TELECOM ITALIA MOBILE,2013 May 24,REALIZZATO,FORNI DI SOPRA,UD,313541.7,5144080.1
ALTRO GESTORE,2016 January 20,REALIZZATO,ZOPPOLA,PN,329506.3,5092538.2
WIND-TRE,2013 August 13,REALIZZATO,VARMO,UD,343916.4,5084603
TELECOM ITALIA MOBILE,2006 September 08,REALIZZATO,CODROIPO,UD,343424.8,5091712.6
VODAFONE OMNITEL,2014 June 27,REALIZZATO,UDINE,UD,361854.4,5104904.2
WIND-TRE,,REALIZZATO,SAPPADA,UD,325246.1,5158402.5
TELECOM ITALIA MOBILE,2019 March 19,REALIZZATO,VARMO,UD,343658.4,5083789
WIND-TRE,2018 February 28,REALIZZATO,MONFALCONE,GO,386175.8,5073747.8
TELECOM ITALIA MOBILE,2014 August 12,REALIZZATO,TARVISIO,UD,386448.2,5151438.7
VODAFONE OMNITEL,2011 December 21,DA REALIZZARE,FLAIBANO,UD,340236.3,5100942.1
VODAFONE OMNITEL,2008 January 29,REALIZZATO,LATISANA,UD,343982.3,5071794.3
ALTRO GESTORE,2016 May 27,REALIZZATO,SAN CANZIAN D'ISONZO,GO,379738.9,5074688.7
VODAFONE OMNITEL,2018 February 12,REALIZZATO,AVIANO,PN,308377,5108949.8
VODAFONE OMNITEL,2015 April 24,REALIZZATO,BAGNARIA ARSA,UD,368738.9,5083187.7
TELECOM ITALIA MOBILE,2006 February 13,REALIZZATO,PORCIA,PN,315525,5091800.2
VODAFONE OMNITEL,2014 October 24,REALIZZATO,GEMONA DEL FRIULI,UD,356275.8,5127501.4
VODAFONE OMNITEL,2014 April 03,REALIZZATO,POCENIA,UD,352635.1,5077253.5
TELECOM ITALIA MOBILE,2014 September 01,REALIZZATO,CERVIGNANO DEL FRIULI,UD,370734.9,5075717.4
TELECOM ITALIA MOBILE,2018 January 12,REALIZZATO,MONRUPINO,TS,409167.1,5061350
VODAFONE OMNITEL,2014 May 05,REALIZZATO,PRATA DI PORDENONE,PN,313312.4,5084786.9
VODAFONE OMNITEL,2015 April 09,REALIZZATO,OSOPPO,UD,352529.3,5123557.5
TELECOM ITALIA MOBILE,2016 October 10,REALIZZATO,UDINE,UD,362828,5104948.6
VODAFONE OMNITEL,2016 July 20,REALIZZATO,LIGOSULLO,UD,353506.2,5157401
TELECOM ITALIA MOBILE,2014 March 25,REALIZZATO,SAN VITO AL TAGLIAMENTO,PN,335599.7,5090190.9
VODAFONE OMNITEL,2014 March 13,DA REALIZZARE,CLAUZETTO,PN,339966.7,5123427.8
TELECOM ITALIA MOBILE,2014 June 09,REALIZZATO,DOBERDO' DEL LAGO,GO,389393.8,5073951.7
VODAFONE OMNITEL,2015 May 26,DA REALIZZARE,SANTA MARIA LA LONGA,UD,366467.8,5087489.7
WIND-TRE,2017 June 01,REALIZZATO,TRIESTE,TS,398978.8,5064259.6
ALTRO GESTORE,2016 May 05,REALIZZATO,TAVAGNACCO,UD,361700.5,5107706.3
TELECOM ITALIA MOBILE,2017 April 11,REALIZZATO,LIGNANO SABBIADORO,UD,352195.3,5058061.9
WIND-TRE,2018 February 27,REALIZZATO,MOSSA,GO,387730.8,5087944
VODAFONE OMNITEL,2014 January 27,REALIZZATO,FORGARIA NEL FRIULI,UD,343021.8,5118608.2
VODAFONE OMNITEL,2014 September 17,REALIZZATO,REANA DEL ROIALE,UD,362880.4,5110684.9
VODAFONE OMNITEL,2014 February 04,REALIZZATO,PAVIA DI UDINE,UD,363951.1,5091029.6
VODAFONE OMNITEL,2014 May 05,REALIZZATO,BRUGNERA,PN,309402.2,5085443.5
VODAFONE OMNITEL,2015 June 17,REALIZZATO,ARTEGNA,UD,357220,5121863.9
ALTRO GESTORE,,DA REALIZZARE,TRICESIMO,UD,362682.8,5115206.3
ALTRO GESTORE,2016 September 06,REALIZZATO,TRIESTE,TS,404070,5055134.6
TELECOM ITALIA MOBILE,2017 September 07,REALIZZATO,PRAVISDOMINI,PN,319876.4,5076102.2
TELECOM ITALIA MOBILE,2014 March 14,REALIZZATO,CASTELNOVO DEL FRIULI,PN,338543.9,5118313.3
TELECOM ITALIA MOBILE,2014 December 11,DA REALIZZARE,LUSEVERA,UD,370833.9,5129305
WIND-TRE,2017 July 27,REALIZZATO,TRIESTE,TS,400094.3,5062651.2
TELECOM ITALIA MOBILE,2012 December 14,DA REALIZZARE,CANEVA,PN,304550.2,5095108.1
VODAFONE OMNITEL,2014 April 02,REALIZZATO,MANIAGO,PN,323145.1,5113596.2
VODAFONE OMNITEL,2014 October 10,REALIZZATO,CODROIPO,UD,344045.5,5092097.1
TELECOM ITALIA MOBILE,2012 October 15,DA REALIZZARE,SEQUALS,PN,336866.4,5113524.7
WIND-TRE,2017 June 01,REALIZZATO,GRIMACCO,UD,389642.2,5112133
VODAFONE OMNITEL,2014 July 08,REALIZZATO,CODROIPO,UD,342571.4,5092570.8
TELECOM ITALIA MOBILE,2014 September 16,REALIZZATO,TRIESTE,TS,408783.2,5054436.3
WIND-TRE,2015 February 04,REALIZZATO,TARVISIO,UD,393744.2,5153341.3
WIND-TRE,2019 September 03,DA REALIZZARE,RUDA,UD,376037.9,5076624
TELECOM ITALIA MOBILE,2013 June 10,REALIZZATO,LATISANA,UD,347477.9,5066837
TELECOM ITALIA MOBILE,2013 July 03,REALIZZATO,UDINE,UD,363305.6,5102405
ALTRO GESTORE,2006 July 20,REALIZZATO,UDINE,UD,364207.4,5101618.7
WIND-TRE,2019 April 24,DA REALIZZARE,SESTO AL REGHENA,PN,329905.8,5080184.3
TELECOM ITALIA MOBILE,2014 August 22,REALIZZATO,FIUME VENETO,PN,322071.6,5086894.8
VODAFONE OMNITEL,2016 May 05,DA REALIZZARE,GORIZIA,GO,392722.5,5088915
VODAFONE OMNITEL,2014 October 21,DA REALIZZARE,RONCHI DEI LEGIONARI,GO,382322.9,5075337.2
TELECOM ITALIA MOBILE,2013 August 09,REALIZZATO,GRADISCA D'ISONZO,GO,383348.6,5082635.3
VODAFONE OMNITEL,2018 April 13,REALIZZATO,LIGNANO SABBIADORO,UD,352626.9,5058877.7
TELECOM ITALIA MOBILE,2014 April 02,REALIZZATO,CANEVA,PN,302807.7,5093655.3
VODAFONE OMNITEL,2014 August 04,REALIZZATO,BUTTRIO,UD,371427.3,5096073.6
VODAFONE OMNITEL,2014 August 12,REALIZZATO,TARVISIO,UD,386448.2,5151438.7
VODAFONE OMNITEL,,REALIZZATO,LUSEVERA,UD,366055.4,5126549.6
TELECOM ITALIA MOBILE,2013 March 13,DA REALIZZARE,TEOR,UD,348671.9,5080381.5
WIND-TRE,2003 December 11,REALIZZATO,SEQUALS,PN,332480.4,5114597.6
WIND-TRE,2013 January 25,REALIZZATO,TRIESTE,TS,404877,5055579.1
VODAFONE OMNITEL,2016 January 29,DA REALIZZARE,UDINE,UD,363749.5,5103447.4
TELECOM ITALIA MOBILE,2017 February 21,REALIZZATO,TARVISIO,UD,386438.6,5148711.6
TELECOM ITALIA MOBILE,2013 February 13,REALIZZATO,TRIESTE,TS,405846.9,5052181
TELECOM ITALIA MOBILE,2015 April 01,REALIZZATO,FONTANAFREDDA,PN,311508.8,5093910.2
VODAFONE OMNITEL,2015 June 30,REALIZZATO,GORIZIA,GO,392350.6,5086594
TELECOM ITALIA MOBILE,2012 November 07,DA REALIZZARE,MEDUNO,PN,329494.7,5120632
TELECOM ITALIA MOBILE,2006 August 09,DA REALIZZARE,UDINE,UD,363695,5104080.8
VODAFONE OMNITEL,2018 September 17,DA REALIZZARE,MEDEA,GO,377403.5,5086065.9
WIND-TRE,2017 July 14,REALIZZATO,TRIESTE,TS,407044.7,5060426.2
WIND-TRE,2018 May 22,REALIZZATO,GORIZIA,GO,392205.6,5089122.2
VODAFONE OMNITEL,2011 January 27,REALIZZATO,DRENCHIA,UD,393648.8,5114442.7
ALTRO GESTORE,2003 September 04,REALIZZATO,TRIESTE,TS,405019.6,5052670.7
TELECOM ITALIA MOBILE,2013 September 13,REALIZZATO,TRIESTE,TS,404328,5057801.1
TELECOM ITALIA MOBILE,2017 February 28,REALIZZATO,TRIESTE,TS,404070,5055134.6
VODAFONE OMNITEL,2015 July 06,DA REALIZZARE,CANEVA,PN,302072.2,5092826.2
TELECOM ITALIA MOBILE,2014 July 11,REALIZZATO,AVIANO,PN,308377,5108949.8
TELECOM ITALIA MOBILE,2017 September 07,REALIZZATO,SESTO AL REGHENA,PN,334190.3,5081825
VODAFONE OMNITEL,2018 June 26,REALIZZATO,BUIA,UD,356474.08,5119162.53
ILIAD ITALIA,2019 June 25,DA REALIZZARE,PORDENONE,PN,318566.9,5091484.2
VODAFONE OMNITEL,2014 September 11,REALIZZATO,PAGNACCO,UD,360038.1,5109684.9
TELECOM ITALIA MOBILE,2014 July 16,REALIZZATO,TARCENTO,UD,360931.3,5118863.2
VODAFONE OMNITEL,2016 July 07,DA REALIZZARE,TARVISIO,UD,390254,5141716.8
VODAFONE OMNITEL,2015 June 09,REALIZZATO,PALMANOVA,UD,367796,5084520.9
TELECOM ITALIA MOBILE,2017 November 22,DA REALIZZARE,TOLMEZZO,UD,347521.1,5142116.4
VODAFONE OMNITEL,2014 December 18,REALIZZATO,RAGOGNA,UD,344146.2,5114904.1
VODAFONE OMNITEL,2015 January 07,REALIZZATO,PRATA DI PORDENONE,PN,310712.7,5079536.9
VODAFONE OMNITEL,2014 August 22,REALIZZATO,FIUME VENETO,PN,322071.6,5086894.8
TELECOM ITALIA MOBILE,2014 June 16,REALIZZATO,VENZONE,UD,355967.6,5132004.7
VODAFONE OMNITEL,2014 November 03,REALIZZATO,SAN GIORGIO DI NOGARO,UD,362388.3,5071663
VODAFONE OMNITEL,2014 November 17,REALIZZATO,LAUCO,UD,340697,5143267
VODAFONE OMNITEL,2014 May 06,REALIZZATO,VIVARO,PN,328841.1,5108652
VODAFONE OMNITEL,2014 March 07,DA REALIZZARE,CORNO DI ROSAZZO,UD,379173.4,5094233.3
TELECOM ITALIA MOBILE,2007 November 20,REALIZZATO,TRICESIMO,UD,362479.4,5115459
TELECOM ITALIA MOBILE,2016 January 15,REALIZZATO,POCENIA,UD,353884.7,5081565.3
VODAFONE OMNITEL,2015 August 04,REALIZZATO,PRATA DI PORDENONE,PN,310925.4,5082499.7
VODAFONE OMNITEL,2014 August 07,REALIZZATO,PORCIA,PN,314680,5091660.2
VODAFONE OMNITEL,2015 September 09,REALIZZATO,TRIESTE,TS,404913.2,5055658.9
WIND-TRE,2011 February 25,REALIZZATO,FAEDIS,UD,372591.9,5110965.2
VODAFONE OMNITEL,2014 August 05,REALIZZATO,MARTIGNACCO,UD,359566.5,5105479.3
VODAFONE OMNITEL,2018 May 18,DA REALIZZARE,DOBERDO' DEL LAGO,GO,388457.3,5079223.7
VODAFONE OMNITEL,2014 September 01,REALIZZATO,CERVIGNANO DEL FRIULI,UD,370734.9,5075717.4
VODAFONE OMNITEL,2015 November 02,DA REALIZZARE,FLAIBANO,UD,343699,5102805.8
VODAFONE OMNITEL,2014 July 01,REALIZZATO,GORIZIA,GO,392064.3,5088981
VODAFONE OMNITEL,2014 November 04,REALIZZATO,AVIANO,PN,313245.1,5104679.9
VODAFONE OMNITEL,2014 October 23,REALIZZATO,GORIZIA,GO,391700.2,5085781.1
TELECOM ITALIA MOBILE,2017 July 19,REALIZZATO,UDINE,UD,363576.1,5102384.4
ALTRO GESTORE,2004 July 15,REALIZZATO,TRIESTE,TS,403491.1,5057980.1
TELECOM ITALIA MOBILE,2018 December 11,REALIZZATO,CIVIDALE DEL FRIULI,UD,378488.7,5105715
TELECOM ITALIA MOBILE,2012 September 04,REALIZZATO,UDINE,UD,363770.3,5106503.1
VODAFONE OMNITEL,2018 January 17,DA REALIZZARE,TAVAGNACCO,UD,361354.8,5106684.8
TELECOM ITALIA MOBILE,2016 June 17,REALIZZATO,SUTRIO,UD,341222.6,5152335
WIND-TRE,2012 February 07,REALIZZATO,BUDOIA,PN,309686.4,5102193.2
WIND-TRE,2011 September 29,REALIZZATO,TARVISIO,UD,387532.7,5151470.2
TELECOM ITALIA MOBILE,2015 November 25,REALIZZATO,COSEANO,UD,346218.6,5106962.4
TELECOM ITALIA MOBILE,2008 September 26,REALIZZATO,CASARSA DELLA DELIZIA,PN,332738.8,5090570
TELECOM ITALIA MOBILE,2014 March 21,REALIZZATO,PORDENONE,PN,319348.9,5093133.1
VODAFONE OMNITEL,2014 April 09,REALIZZATO,GORIZIA,GO,391753.3,5087256
VODAFONE OMNITEL,2015 September 09,REALIZZATO,SAN VITO AL TAGLIAMENTO,PN,335115.7,5086965
ALTRO GESTORE,2003 December 12,REALIZZATO,FOGLIANO REDIPUGLIA,GO,382418.6,5078992.7
TELECOM ITALIA MOBILE,,REALIZZATO,SAPPADA,UD,322496.1,5158550
TELECOM ITALIA MOBILE,2017 July 18,REALIZZATO,TRIESTE,TS,406443.3,5053099.2
WIND-TRE,2017 September 11,REALIZZATO,TRIESTE,TS,405888.1,5054970.8
TELECOM ITALIA MOBILE,2013 August 09,REALIZZATO,TRIESTE,TS,406565.7,5053623.9
WIND-TRE,2006 September 14,REALIZZATO,MOGGIO UDINESE,UD,360875.7,5140682.3
TELECOM ITALIA MOBILE,2017 March 28,REALIZZATO,TRIESTE,TS,408666.6,5052397.6
TELECOM ITALIA MOBILE,2014 March 05,REALIZZATO,BASILIANO,UD,354857.7,5097058.8
TELECOM ITALIA MOBILE,2012 October 11,REALIZZATO,UDINE,UD,365334.9,5105914.7
ALTRO GESTORE,2003 July 16,REALIZZATO,BUTTRIO,UD,370686.1,5096788.6
ALTRO GESTORE,2015 December 09,REALIZZATO,CASARSA DELLA DELIZIA,PN,332954.8,5091042
TELECOM ITALIA MOBILE,2017 July 18,REALIZZATO,TRIESTE,TS,403396.8,5055159.4
VODAFONE OMNITEL,2014 August 25,REALIZZATO,SPILIMBERGO,PN,335877.5,5110965.2
TELECOM ITALIA MOBILE,2012 July 09,REALIZZATO,BASILIANO,UD,353483.4,5097449.5
ALTRO GESTORE,2004 July 05,REALIZZATO,AMARO,UD,356799.7,5139209.6
WIND-TRE,2017 May 12,REALIZZATO,CARLINO,UD,358252.2,5071106.1
WIND-TRE,2010 August 24,REALIZZATO,SAN GIOVANNI AL NATISONE,UD,376223.7,5092237.7
VODAFONE OMNITEL,2015 September 09,REALIZZATO,CIVIDALE DEL FRIULI,UD,377917.8,5105664.9
TELECOM ITALIA MOBILE,2015 May 26,REALIZZATO,BUIA,UD,355742.6,5118538.1
TELECOM ITALIA MOBILE,2017 May 03,REALIZZATO,MUGGIA,TS,401427.5,5050566.3
TELECOM ITALIA MOBILE,2017 December 13,REALIZZATO,TRIESTE,TS,406557.8,5061508
ALTRO GESTORE,2006 October 25,REALIZZATO,GRADO,GO,374404.5,5059704.6
TELECOM ITALIA MOBILE,2014 July 03,REALIZZATO,MEDUNO,PN,330049,5119064.4
TELECOM ITALIA MOBILE,2014 May 12,REALIZZATO,PALMANOVA,UD,367796,5084520.9
WIND-TRE,2018 February 19,REALIZZATO,FARRA D'ISONZO,GO,384375.3,5084869
TELECOM ITALIA MOBILE,2019 April 16,REALIZZATO,TORVISCOSA,UD,366194.9,5076399.8
ALTRO GESTORE,2003 December 29,REALIZZATO,SGONICO,TS,400756.1,5064822.5
VODAFONE OMNITEL,2014 September 22,REALIZZATO,LATISANA,UD,348112.6,5064570.9
WIND-TRE,2018 January 30,REALIZZATO,GRADO,GO,377797.8,5059472.4
VODAFONE OMNITEL,2015 March 11,DA REALIZZARE,SAN FLORIANO DEL COLLIO,GO,390587.6,5093048.7
VODAFONE OMNITEL,2014 September 02,REALIZZATO,SAN DORLIGO DELLA VALLE,TS,410735.6,5051396
TELECOM ITALIA MOBILE,2014 April 07,DA REALIZZARE,LAUCO,UD,341190.9,5143244.5
TELECOM ITALIA MOBILE,2014 January 13,REALIZZATO,BASILIANO,UD,352882.4,5099775.8
WIND-TRE,2017 April 05,REALIZZATO,VIVARO,PN,328210.6,5105665.5
TELECOM ITALIA MOBILE,2013 July 08,REALIZZATO,CARLINO,UD,359590.9,5073427.5
WIND-TRE,2017 September 29,REALIZZATO,TRIESTE,TS,411882.8,5054552.6
WIND-TRE,2011 November 16,REALIZZATO,AVIANO,PN,315758.9,5109638.9
VODAFONE OMNITEL,2018 September 24,DA REALIZZARE,FORGARIA NEL FRIULI,UD,342858.8,5120609.1
TELECOM ITALIA MOBILE,2017 May 10,REALIZZATO,UDINE,UD,362107.1,5101715.1
TELECOM ITALIA MOBILE,2014 April 11,DA REALIZZARE,UDINE,UD,364523.3,5102028.7
TELECOM ITALIA MOBILE,2013 December 24,REALIZZATO,PAGNACCO,UD,359470.2,5109184.3
TELECOM ITALIA MOBILE,2017 August 17,REALIZZATO,TRIESTE,TS,406112.4,5056656.3
VODAFONE OMNITEL,2015 June 24,REALIZZATO,TARCENTO,UD,360931.3,5118863.2
VODAFONE OMNITEL,2015 July 21,DA REALIZZARE,PALUZZA,UD,342575.4,5163106.1
VODAFONE OMNITEL,2015 October 29,REALIZZATO,GONARS,UD,364407,5082748.8
VODAFONE OMNITEL,2016 November 10,REALIZZATO,ATTIMIS,UD,368722.2,5115943.8
TELECOM ITALIA MOBILE,2014 September 17,REALIZZATO,ROMANS D'ISONZO,GO,379372.6,5083663.4
ALTRO GESTORE,2004 August 02,REALIZZATO,PINZANO AL TAGLIAMENTO,PN,342038.3,5117149.7
WIND-TRE,2018 May 02,REALIZZATO,GORIZIA,GO,394170.1,5090651.7
WIND-TRE,2018 February 12,REALIZZATO,GORIZIA,GO,392881.49,5087073.48
VODAFONE OMNITEL,2015 March 20,REALIZZATO,TALMASSONS,UD,351868.5,5088658.5
VODAFONE OMNITEL,2018 December 06,DA REALIZZARE,CAMINO AL TAGLIAMENTO,UD,340767.2,5088308.8
WIND-TRE,2017 March 13,REALIZZATO,CLAUT,PN,304919.7,5126341.5
TELECOM ITALIA MOBILE,2014 November 17,REALIZZATO,LAUCO,UD,340697,5143267
WIND-TRE,2017 May 09,REALIZZATO,COSEANO,UD,348168.4,5106661
TELECOM ITALIA MOBILE,2014 May 09,REALIZZATO,SACILE,PN,305677.1,5091210.2
TELECOM ITALIA MOBILE,2013 June 14,REALIZZATO,TRIESTE,TS,405006.6,5056132.9
TELECOM ITALIA MOBILE,2017 May 12,REALIZZATO,GRADO,GO,375295.2,5059553.9
WIND-TRE,2017 June 01,REALIZZATO,PINZANO AL TAGLIAMENTO,PN,338636.8,5114850.4
TELECOM ITALIA MOBILE,2015 December 02,REALIZZATO,MEDEA,GO,377403.5,5086065.9
TELECOM ITALIA MOBILE,2014 January 13,REALIZZATO,MANIAGO,PN,323030.8,5115739.9
TELECOM ITALIA MOBILE,2017 September 05,REALIZZATO,CLAUZETTO,PN,339966.7,5123427.8
WIND-TRE,2019 February 19,REALIZZATO,MONFALCONE,GO,384252.8,5074831.4
VODAFONE OMNITEL,2015 April 21,DA REALIZZARE,PASIANO DI PORDENONE,PN,316628.8,5080620.5
ALTRO GESTORE,2006 October 18,REALIZZATO,LIGNANO SABBIADORO,UD,352915.5,5059743
TELECOM ITALIA MOBILE,2017 May 23,REALIZZATO,TRIESTE,TS,405918.4,5057055
WIND-TRE,2014 August 27,REALIZZATO,TARVISIO,UD,386417.6,5148710.2
TELECOM ITALIA MOBILE,2003 April 15,REALIZZATO,TRIESTE,TS,404760,5056441.1
VODAFONE OMNITEL,2015 June 17,REALIZZATO,POZZUOLO DEL FRIULI,UD,360284.4,5093319.7
TELECOM ITALIA MOBILE,2013 March 01,DA REALIZZARE,PORCIA,PN,316309.1,5092008.4
